rand_id,loc_1,loc_2,loc_4,loc_8,loc_16,loc_32,loc_64,loc_128,loc_256,loc_512
0,150.9,281.3,343.5,393.4,436.8,558.4,648.7,705.1,736.7,752.2
1,141.5,263.1,328.2,378.1,420,546.7,640.9,699.6,733.5,751.9
2,150.2,279.7,343,392.9,435.3,557.2,646.6,703.9,735.9,753.2
3,152.3,281.7,351.2,394.9,437.5,558.7,648.9,704.8,736.4,753
4,148.9,281.1,343.3,394,437.1,559.5,648.8,704.9,736.6,753.5
5,147.8,279.3,343,392.7,434.6,557.2,647.4,703.9,736.2,753.1
6,149.4,276.4,339,388.7,429,553.1,644.1,702,735.3,752.9
7,145.7,275.1,344.5,388.6,431.6,554.6,646.6,703.7,736,753.7
8,151,280.3,342.5,393.5,436.3,558,648.6,705,737,753.8
9,148.9,276.8,341.3,390.9,433.5,555.7,646.9,703.8,734.2,753.2
10,151.5,282.8,351.2,394.7,436.6,558.3,648,704.3,736.4,753.2
11,149.5,282,350.6,394.2,436.6,557.2,648.3,704.9,736.7,753.5
12,148.1,272.6,336.9,387.3,430,552.9,644.9,702.7,735,752.9
13,150.4,281.4,344.1,393.9,436.3,558.5,648.4,704.7,736.8,753.6
14,144.7,271,339.9,385.6,429.8,551.3,644.4,702.5,735,752.6
15,149.7,278.6,342.6,392.5,435.2,557.9,648.2,704.3,736.4,753.3
16,148.6,280.4,349.8,393.4,436,557.8,648.5,704.9,736.5,753.6
17,147.4,274,344.2,387.5,429.7,551.6,645,702.7,735.6,753.2
18,150.5,283.2,345.3,395.1,437.3,559.2,648.7,704.7,736.4,752.6
19,151.9,281.7,350.3,394.5,438,558.2,649.3,705.4,736.9,751.1
20,151.1,281.6,348.6,393.6,435.8,556,647.2,704.4,736.4,753.3
21,150.2,281.4,344.1,392.6,435.1,555.3,646.1,702.9,734.2,751.7
22,151.6,281.6,350.8,394.9,437.1,557.6,648.2,704.9,736.6,752.9
23,147.6,277.7,341.4,390,431.9,555.2,645.9,703.5,735.7,753.1
24,150.6,281.9,344.4,393.6,436.1,558.5,647.3,704.3,736.1,753.1
25,151.2,283,344.6,394.4,437.2,558.7,648.9,704.8,736.6,753.4
26,151,281,349.6,393.3,436.2,557.2,648.4,704.9,735.2,753.7
27,151.2,279.9,348.5,392.6,435.4,557.7,648.2,704.4,736.4,753.6
28,150.1,280.1,343.3,393,435.3,558.7,648,704.8,736.2,753.4
29,147.7,275.7,344.9,389,431,552.5,645.3,703,735.6,753
30,145.3,271.5,342.4,387.4,429.8,552.2,643.5,700.7,733.9,752
31,149,278.1,347,391,431.5,556.7,646.7,704.2,736.2,753.7
32,155,284.5,351.9,395.8,438.1,559.8,649.1,704.7,736.5,753.2
33,149.9,279.5,347.2,392.8,435,557,647.5,703.7,732.6,749.1
34,152.9,283.5,338.1,394.8,437,559.3,647.6,705.2,736.8,753.5
35,151,281.7,349.7,393,435.1,555.8,648.4,704.2,736.5,753.6
