rand_id,loc_1,loc_2,loc_4,loc_8,loc_16,loc_32,loc_64,loc_128,loc_256,loc_512
0,132.4,159.6,181.5,213.1,286.4,372.7,442.7,493.9,517.8,532.5
1,130.1,156.7,179.8,211.9,285.7,371,444.2,488.6,515.5,532.3
2,132.3,158.1,181.2,212.9,287.1,373.1,444.9,492.5,517.9,532.4
3,128.1,156.6,179.2,210.9,284.6,370.6,439.9,492.1,515.6,530.1
4,130.3,156.9,181,211.6,284.8,371.7,444.6,490.8,516.8,559
5,131.1,156.8,179.7,211.9,285.7,371.4,441.5,489.9,516.2,531.1
6,130.7,158.6,179.4,211.5,285.8,371.1,441.1,489.1,515.7,560.9
7,130.7,157.9,181,212.5,286.2,371.6,442.3,490.8,537.6,604
8,132.2,157.5,182.2,212.3,282.6,368.6,464.7,539,582.5,539.6
9,130.9,157.1,179.2,211.6,285.8,371.3,441.1,490.9,516.4,530.9
10,130.7,157.2,179.8,212,285.2,372.2,441.6,488.7,516.1,531.1
11,130.9,158.8,181.7,212,286.2,371.6,441.6,490.1,517,531.6
12,131.4,157.3,181.1,212.2,286.4,371.9,441.4,489.9,516.2,531.2
13,131.2,157,182.2,211.8,285.2,372.3,443.3,491.5,516.6,531.1
14,131.8,157.8,181,213,287.1,372.5,444.5,490.7,517.2,532.2
15,130.7,156.9,181.4,212.4,285.9,372.1,441.7,491.7,516.7,531.5
16,130.7,158.9,180.1,212.1,286,371.7,441.4,488.6,517.3,559.3
17,130.9,157.1,181.3,212.4,285.8,371.9,444.1,490.5,549,550.2
18,130.8,157.5,180.5,213.7,285.5,376.9,472.6,541,583.4,607.1
19,131.5,159.1,181.1,212.1,285.9,371.8,445.5,489.8,516.4,531.2
20,131.3,157.5,180.5,212.9,287.2,372.8,442.4,489.7,517,557.5
21,131.7,159.7,183,213.1,286.9,372.7,442.3,489.6,517.3,583.3
22,130.3,159,181.3,211.8,284.8,371.3,443.4,490.4,517.1,531.1
23,130.8,157.8,182,212,285.7,372,441.8,489.9,516.7,531.7
24,131.1,159.4,181.2,212.7,286.6,372.4,442.3,490.4,517.1,531.9
25,131.1,157.1,181.7,211.6,284.6,370.8,440.9,489.9,516,530.7
26,130.1,157.3,181.7,211.7,285.4,371.3,441.3,489.8,516.5,531
27,131.1,158.9,182.2,212.3,285.9,372.1,441.9,489.2,516.6,531.8
28,130.6,156.7,180.9,211.6,285.9,371.2,440.8,488.2,516,530.8
29,124.2,148.3,171.4,200.7,268,364.2,466,532,580.8,587.7
30,129.8,156.7,180.5,210.6,284.2,369.7,443.4,489,515.7,530.2
31,132.4,159.1,179.5,211.5,285.4,371,445,491.7,516.8,530.9
32,130.8,157.3,179.9,212,286.1,371.5,442.4,491.4,517.1,531.7
33,131.3,159.5,182.9,213.3,286.6,373.1,443.3,493.1,518.1,532.8
34,131.7,159.2,181.5,212.8,286.3,372.1,444.8,489.9,517.1,545.4
35,131.8,159.9,183.3,210.9,287,374,443.8,491.3,518.5,533.2
36,131.9,159.6,182.9,213.3,287.5,372.7,443.9,490.7,517.7,532.1
37,130.2,157.9,180.9,211.1,285.3,370.7,441.1,489,515.9,530.9
38,131.3,159.2,180.8,212.3,286.9,372.2,441.9,491,516.9,532.1
39,131,156.8,181.1,211.4,284.2,370.1,442.1,490,515.4,530.6
40,131.3,158,181.1,213.1,287.6,373.1,445.1,492.4,518.6,532.7
41,131.5,159.4,181.2,212.5,285.8,372.2,445.7,492.1,516.6,531.5
42,130,156.3,181.1,211.9,285.3,372.4,442,490.4,517.1,542.9
43,131.5,158.7,181.5,212.3,285.3,371.9,443.4,491.4,537.7,606.3
44,131.5,157.6,180.3,213,287,372.4,444.3,492.3,518,531.9
45,130.9,158.6,181.2,211.8,285.2,371.3,440.9,489.3,515.7,544.6
46,130.9,156.8,181,211.2,284.4,371,441.9,489.5,515.9,530.9
47,131.5,156.7,180.3,211.3,284.3,371.7,440.5,488.2,514.5,529.4
48,130.2,157.2,181.1,211.8,285,371.4,441.3,491.5,516,531.2
49,132,157.5,182.7,212.7,286.1,371.9,443.1,492.2,517.2,531.7
50,131.2,156.8,179.6,211.9,285.8,371.3,443.3,490.3,516.3,531.1
51,130.8,156.7,181,211.4,283.8,370.8,440.7,490.4,516.7,530.4
52,129.8,156.8,180,211.8,285.5,372,441.4,489.5,516.5,565.5
