rand_id,loc_1,loc_2,loc_4,loc_8,loc_16,loc_32,loc_64,loc_128,loc_256,loc_512
0,120.6,183.2,227.2,285.2,342.5,450.6,539.8,617.1,640.9,706.1
1,121,186.1,226,289.9,333,451.7,582.9,613.6,688,712.6
2,119.7,185.5,226,289.7,348.8,472.9,583.7,598.2,671.8,700.9
3,121.2,182.4,225.6,290.4,349.6,473.3,565.3,640.7,657.5,698.3
4,120.2,183.4,224.1,289.1,341.9,457.8,527,635.6,682.6,697.3
5,120.4,184.3,227.4,285.2,346.8,466.4,563.6,628.6,679.2,700.7
6,119.7,182.4,225.2,288.7,346.7,451.1,582.1,621.1,676.3,701.6
7,121.4,182.7,224.8,288.5,341.7,450.7,571.5,623.2,674.5,706.7
8,121.6,185.5,223.7,289.4,348.7,465.8,562.5,603.4,697.8,702
9,120.3,180.2,222.2,285.9,346.6,464.6,582,639.7,663.7,692.1
10,120.5,185.3,225.7,289,346.5,471.6,564.1,626.4,688.1,715.6
11,119.5,183.1,222.5,289.5,348.3,452.2,536.3,641.1,671.9,792.9
12,120.3,183.7,229.6,290.4,349.4,453,573.4,633.2,689.4,712.6
13,119.8,181.4,226.8,288.2,346.4,450.6,592.9,645.9,666.9,710
14,121.6,183.1,223.7,286.3,337.9,472.8,564.7,652.9,663.2,705.4
15,120.7,182.4,221.7,284.1,346.5,450.8,564.1,621.6,680.3,701.5
16,119.1,177.9,212.1,275.3,328.4,444.7,558.9,622.7,669.7,686.5
17,120.7,184.2,223.6,286,349.8,474.4,582.9,604.5,689.3,706.7
18,121.5,180.9,223.2,285.2,347.7,465.8,571.5,620.8,663.8,748.9
19,119.9,182.5,224.1,284.8,341.5,468.9,597.3,692.2,758.2,793.7
20,118.5,182.7,229.4,288.9,347.7,458,554.1,618.2,671.8,710.6
21,120.4,184.4,225.7,289.5,347.4,451.5,563.9,614.6,680,692.1
22,120.4,185.7,223.6,286,348.5,466.9,573.5,610.8,655.8,688.1
23,120.3,184.3,224.2,288.8,346.9,456.9,582.4,626.5,684.8,706.8
24,121.3,184.1,224.6,289.7,332.2,458.6,583.9,640.8,674.1,696
25,119.4,184.1,222.2,289.2,348.1,458,543,627,663.7,697.4
26,121.5,184.4,227.1,290.5,334,459.4,539.9,626.9,672.6,701.8
27,122.5,182.2,224.2,289.8,339.2,451.5,548.9,655.3,681.4,703
28,121.3,184.1,225,289,329.2,464.8,599.1,694.6,758,792.4
29,120.2,182.6,225.4,289,346.6,464.5,553,691.6,760.3,795.3
30,119.8,182.2,224.5,284,345.8,470.5,563.3,638.6,655.5,701
31,118.9,184.4,229.9,284.7,346.7,457.9,553.1,635.3,665.5,714.1
32,119.9,185.1,227,287.8,343.1,457.9,582.1,651.7,662.3,771
33,121,184.2,226.7,290.1,349.9,474.2,539.1,624.2,699.2,712.7
34,119.6,183.9,225.3,290.3,348.8,472.5,582.3,602.5,674.3,710.7
35,120.8,184.1,229.6,286,348.6,473.2,573.8,597.9,676,711.2
36,120.9,185.4,228.9,290.2,344.2,468,549.6,627.7,656.7,697.7
37,120.9,185,225.2,290,349.6,459.2,555.3,603.7,689.8,702.8
38,121.3,184.3,223.9,290.6,344.4,458.9,565.5,639.4,684.9,696.9
39,121.5,181.4,223.9,288.9,346.4,464.5,570.9,637.2,670.9,705.5
40,119.7,184.2,225,289.5,348.9,459,555.7,640.3,672.2,711.8
41,121.3,184.4,223.4,285.6,343.2,472.8,564.7,627.4,679.8,715.5
42,120.4,179.7,225.1,288.7,338,472,583.2,639.3,697,707
43,121.5,184.8,229.2,284.8,338.9,474.2,598,698.4,759.7,794.9
44,121.2,186.3,226,286.8,349.9,474.8,585,641.8,665.3,720.6
45,120.9,183,224.5,288.5,346.4,471.3,582,653.4,667.1,720.4
46,120.6,183.9,224.2,290.7,348.3,472.6,547.7,648.2,656.3,700.6
47,121.7,184.8,227.4,289.9,343.8,452.2,525.8,652.5,744,792.6
48,119.8,185.3,225.2,290.9,350.4,469.5,556,639,671.2,711.2
49,121.1,182.1,222.6,284.2,348.1,466.7,548.1,653.9,681.4,711.6
50,121.3,185.3,225.7,290.2,348.3,467.4,536.6,635.5,674.4,706.3
51,118.8,183.3,225,286.5,342,456.4,571.4,625.5,681.3,684.7
52,119.1,184.8,225.8,291.4,350.6,476.6,568.5,640.8,689.1,716.8
53,118.8,183.7,226.3,288.5,347.2,471.6,582.3,607.8,679.8,742.3
54,119.1,181.8,223.8,287.4,336.3,464.3,548.4,677.5,756.1,793
55,120.2,184.2,230.1,289.1,341.1,457.1,547.8,640,658.1,720.2
56,120.6,183.6,229.7,288.4,342.2,465.6,564.8,602.3,663.9,702.1
57,120.3,183.4,223.7,289.5,348,472.8,582.7,653.5,671.6,717.1
58,120.2,183,229.8,287.1,339.1,460.7,603.2,696.7,759,791.5
59,121.1,185.7,224.8,290.4,349.3,458.8,573.7,591.4,659,708.4
60,120.3,183.8,223.9,283.6,347.5,471.1,553.3,590.8,671.8,716.4
61,120.5,185.4,224.3,289.8,349.5,457.9,548.2,639.5,663.1,715.4
62,120.1,183.7,224.6,286.1,347.8,459.1,583.3,638.9,676.1,695.2
63,119.1,183.5,228.3,287.8,331.8,464.7,563.7,639.2,674.6,733.9
64,120.4,184.5,223.6,289.8,347,474.1,563.6,621.4,673.9,697.1
65,119.5,183.7,221.9,289.1,336.8,451.1,564.9,640.5,680.1,702
66,119.4,184.7,224.5,285.8,338.2,459.1,566.1,654.5,680.9,689.9
67,120.7,186,226.1,285.3,337.1,443.4,571.6,654,689.2,704.2
68,120.4,182.6,222.9,284.7,345.8,470.7,564.3,613.7,725.4,792.1
69,120.1,183.9,226.8,288.9,347.4,450,551.3,612.8,704.9,709
70,121.1,183.9,224.4,289.7,344.4,473.6,555.2,641.2,689.3,702.7
71,120.8,184,225.4,287.8,347.8,471.7,582.7,639.7,680,711.3
72,120.4,184.7,225.3,289.7,348.2,473.8,565.9,627.4,689,706.7
73,121.7,185.5,225.7,290.2,348.8,458.8,563.9,597.4,672.3,716.5
74,119.1,182.1,222.4,289.7,347.8,467,583.4,625.6,680.7,717.3
