  11M,0929558,rrc00_v4.fib
 1.8M,1868817,rrc00_v6.fib
 9.3M,9723499,rrc01_v4.fib
 1.8M,1848017,rrc01_v6.fib
 3.2M,3268993,rrc02_v4.fib
  30K,30191,  rrc02_v6.fib
 9.5M,9887186,rrc03_v4.fib
 1.8M,1841671,rrc03_v6.fib
 9.2M,9619915,rrc04_v4.fib
 1.7M,1770261,rrc04_v6.fib
 9.2M,9544485,rrc05_v4.fib
 1.8M,1804394,rrc05_v6.fib
 9.4M,9766310,rrc06_v4.fib
 1.7M,1742884,rrc06_v6.fib
 9.3M,9664536,rrc07_v4.fib
 1.7M,1776690,rrc07_v6.fib
 9.3M,9743198,rrc10_v4.fib
 1.7M,1778006,rrc10_v6.fib
 9.5M,9901980,rrc11_v4.fib
 1.8M,1799954,rrc11_v6.fib
 9.4M,9793300,rrc12_v4.fib
 1.8M,1841129,rrc12_v6.fib
 9.3M,9717793,rrc13_v4.fib
 1.8M,1787383,rrc13_v6.fib
 9.4M,9809500,rrc14_v4.fib
 1.8M,1793127,rrc14_v6.fib
 9.7M,0100037,rrc15_v4.fib
 1.8M,1828157,rrc15_v6.fib
 9.4M,9809283,rrc16_v4.fib
 1.7M,1757976,rrc16_v6.fib
 9.1M,9514074,rrc18_v4.fib
 1.7M,1690903,rrc18_v6.fib 
 9.5M,9918976,rrc19_v4.fib
 1.7M,1779375,rrc19_v6.fib
 9.4M,9835840,rrc20_v4.fib
 1.8M,1814861,rrc20_v6.fib
 9.4M,9789979,rrc21_v4.fib
 1.8M,1782623,rrc21_v6.fib
 9.0M,9389924,rrc22_v4.fib
 1.7M,1742759,rrc22_v6.fib
 9.3M,9658248,rrc23_v4.fib
 1.7M,1776734,rrc23_v6.fib
 9.2M,9572002,rrc24_v4.fib
 1.7M,1757759,rrc24_v6.fib
